Plant_Name,Scientific_Name,Protein_Seq,Identical_Protein_Groups,Protein,NCBI_link
Gray santolina,Santolina chamaecyparissus,266,90,"2,492",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/41644/
Fly agaric,Amanita muscaria,"18,303","18,030","22,806",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/41956/
Forskohlii,Plectranthus barbatus,368,194,374,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/41228/
Fuller's teasel,Dipsacus fullonum,38,30,69,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/183561/
Gamar,Gmelina arborea Roxb.,138,108,148,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/201509/
Garlic,Allium sativum,999,366,"25,914",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4682/
Ghaypat,Agave americana L.,224,111,"5,923",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/39510/
Giant Taro / Manka- Manakanda / Mahacchada / Mahatpatra / Pankanca,Alocasia macrorrhizos,135,118,167,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4456/
Giloy / Guduchi / Guluncha,Tinospora cordifolia,205,112,242,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/285590/
Ginger,Zingiber officinale,"1,76,045","1,33,555","2,01,113",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/94328/
Ginkgo / Maidenhair tree,Ginkgo biloba,"8,648",931,"17,489",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3311/
Globe Artichoke,Cynara cardunculus,"66,775","53,485","66,989",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4265/
Globeflower,Trollius europaeus,20,17,290,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/212754/
Goat willow,Salix caprea,293,158,"26,394",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/172267/
Gojiberry / Wolfberry,Lycium barbarum,"55,190","43,874","79,464",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/112863/
Golden root / Arctic root / Rose root,Rhodiola rosea,701,237,716,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/203015/
Golden shower,Cassia fistula,233,131,265,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/53852/
Goldenseal,Hydrastis canadensis,306,125,309,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/13569/
Gotu kola / Asiatic pennywort / Sheep-rot / Thankuni / Mandukparni,Centella asiatica,422,202,"4,809",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/48106/
Grape,Vitis vinifera,"2,43,833","1,97,952","6,52,507",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/29760/
Great Burdock,Arctium lappa,"41,261","39,268","48,552",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/124778/
Griffith's Anise / Chinese Star Anise,Illicium verum,433,142,527,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4217/
Guggal Dhoop,Commiphora wightii,193,100,"4,117",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/246360/
Guggulu / Indian Bdelium,Commiphora mukul Engl,1,1,1,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/2067815/
Gurmar / Madhunashini,Gymnema sylvestre,450,321,469,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4068/
Hair amaranth,Amaranthus caudatus,235,117,253,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3567/
Happy tree,Camptotheca acuminata,854,425,"6,623",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/16922/
Hargoza,Acanthus illicifolius,375,135,"6,238",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/328098/
Harikokthong,Artocarpus lacucha,36,25,36,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/382341/
Hawthorn,Cratageus monogyna,306,192,435,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/140997/
Hazelnut,Corylus avellana,"36,737","31,713","93,045",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/13451/
Hemlock,Conium maculatum,222,125,231,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/13447/
Himalayan white lily,Lilium polyphyllum,2,2,2,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1948900/
Hop bush,Dodonaea viscosa,223,120,282,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/151065/
Horse chestnut,Aesculus hippocastanum,316,151,"47,065",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/43364/
Horsetail,Equisetum arvense,415,190,603,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3258/
